,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
58,High School DxD,Highschool DxD,ハイスクールD×D,High School DxD,TV,12,Finished Airing,"Jan 6, 2012 to Mar 23, 2012",Winter 2012,Fridays at 11:00 (JST),"Genco , Lantis , Media Factory , AT-X , PRA , Showgate , Atelier Musa , Fujimi Shobo",Funimation,TNK,Light novel,"Action Action, Comedy Comedy, Fantasy Fantasy, Romance Romance, Ecchi Ecchi","Harem Harem, Mythology Mythology, School School",,24 min. per ep.,R+ - Mild Nudity,"7.33 1 (scored by 897717 897,717 users) 1 indicates a weighted score .",#2545 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#86,"1,420,485","22,577"
59,Kimetsu no Yaiba: Yuukaku-hen,,鬼滅の刃 遊郭編,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"Aniplex , Shueisha","Aniplex of America , Crunchyroll",ufotable,Manga,"Action Action, Fantasy Fantasy",,Shounen Shounen,26 min. per ep.,R - 17+ (violence & profanity),"8.76 1 (scored by 889788 889,788 users) 1 indicates a weighted score .",#44 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#89,"1,404,791","24,318"
60,Durarara!!,"Dhurarara!!, Dyurarara!!, Dulalala!!, Dullalala!!, DRRR!!",デュラララ!!,Durarara!!,TV,24,Finished Airing,"Jan 8, 2010 to Jun 25, 2010",Winter 2010,Fridays at 01:25 (JST),"Aniplex , Square Enix , Mainichi Broadcasting System , Movic , ASCII Media Works , Sakura Create",Aniplex of America,Brain's Base,Light novel,"Action Action, Mystery Mystery, Supernatural Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),"8.10 1 (scored by 662577 662,577 users) 1 indicates a weighted score .",#479 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#90,"1,401,476","30,131"
61,Bungou Stray Dogs,"Literary Stray Dogs, BSD",文豪ストレイドッグス,Bungo Stray Dogs,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",Spring 2016,Thursdays at 01:05 (JST),"Lantis , Movic , KlockWorx , Bandai Namco Live Creative , Glovision , Lawson HMV Entertainment , Sony PCL , Kadokawa","Funimation , Crunchyroll",Bones,Manga,"Action Action, Mystery Mystery, Supernatural Supernatural","Adult Cast Adult Cast, Detective Detective, Organized Crime Organized Crime, Super Power Super Power",Seinen Seinen,23 min. per ep.,R - 17+ (violence & profanity),"7.81 1 (scored by 701548 701,548 users) 1 indicates a weighted score .",#947 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#92,"1,383,430","27,179"
62,Owari no Seraph,Seraph of the End,終わりのセラフ,Seraph of the End: Vampire Reign,TV,12,Finished Airing,"Apr 4, 2015 to Jun 20, 2015",Spring 2015,Saturdays at 22:00 (JST),"Rakuonsha , NBCUniversal Entertainment Japan , Shueisha",Funimation,Wit Studio,Manga,"Action Action, Drama Drama, Fantasy Fantasy","Military Military, Vampire Vampire",Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"7.49 1 (scored by 725347 725,347 users) 1 indicates a weighted score .",#1838 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#98,"1,327,773","13,774"
63,Enen no Shouboutai,Fire Brigade of Flames,炎炎ノ消防隊,Fire Force,TV,24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",Summer 2019,Saturdays at 01:25 (JST),"Mainichi Broadcasting System , Kodansha , bilibili , DMM pictures , DMM Music",Funimation,David Production,Manga,"Action Action, Fantasy Fantasy, Sci-Fi Sci-Fi",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.71 1 (scored by 717334 717,334 users) 1 indicates a weighted score .",#1175 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#100,"1,326,504","9,432"
64,Shingeki no Kyojin: The Final Season Part 2,"Shingeki no Kyojin Season 4, Attack on Titan Season 4",進撃の巨人 The Final Season Part 2,Attack on Titan: Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),"Production I.G , Dentsu , Mainichi Broadcasting System , Pony Canyon , Kodansha , Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action Action, Drama Drama, Suspense Suspense","Gore Gore, Military Military, Survival Survival",Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.77 1 (scored by 733875 733,875 users) 1 indicates a weighted score .",#42 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#103,"1,271,768","30,032"
65,Mononoke Hime,Mononoke Hime,もののけ姫,Princess Mononoke,Movie,1,Finished Airing,"Jul 12, 1997",,,"Tokuma Shoten , Nippon Television Network",GKIDS,Studio Ghibli,Original,"Action Action, Adventure Adventure, Award Winning Award Winning, Fantasy Fantasy",,,2 hr. 13 min.,PG-13 - Teens 13 or older,"8.66 1 (scored by 805888 805,888 users) 1 indicates a weighted score .",#69 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#105,"1,247,306","21,831"
66,Tokyo Revengers,,東京リベンジャーズ,Tokyo Revengers,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,Sundays at 02:08 (JST),"Mainichi Broadcasting System , Pony Canyon , Kodansha , AT-X , Ultra Super Pictures , Studio Mausu , Sammy","None found, add some",LIDENFILMS,Manga,"Action Action, Drama Drama, Supernatural Supernatural","Delinquents Delinquents, Time Travel Time Travel",Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"7.94 1 (scored by 683186 683,186 users) 1 indicates a weighted score .",#708 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#108,"1,239,092","25,287"
67,Deadman Wonderland,DEADMAN WONDERLAND,デッドマン・ワンダーランド,Deadman Wonderland,TV,12,Finished Airing,"Apr 17, 2011 to Jul 3, 2011",Spring 2011,Sundays at 01:00 (JST),"Kadokawa Shoten , Kadokawa Pictures Japan , KlockWorx , AMG MUSIC",Funimation,Manglobe,Manga,"Action Action, Horror Horror, Sci-Fi Sci-Fi, Supernatural Supernatural, Suspense Suspense","Gore Gore, High Stakes Game High Stakes Game, Survival Survival",Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"7.14 1 (scored by 682991 682,991 users) 1 indicates a weighted score .",#3509 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#109,"1,233,758","6,847"
68,Samurai Champloo,SAMURAI CHAMPLOO,サムライチャンプルー,Samurai Champloo,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,Saturdays at 10:30 (JST),"Victor Entertainment , Fuji TV , Barnum Studio , Tokuma Shoten , flying DOG","Funimation , Geneon Entertainment USA",Manglobe,Original,"Action Action, Adventure Adventure, Comedy Comedy","Historical Historical, Samurai Samurai",,24 min. per ep.,R - 17+ (violence & profanity),"8.51 1 (scored by 634463 634,463 users) 1 indicates a weighted score .",#128 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#110,"1,232,886","37,755"
