,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
84,Sword Art Online: Alicization - War of Underworld 2nd Season,"Sword Art Online: Alicization 3rd Season, Sword Art Online III 3rd Season, SAO Alicization 3rd Season, Sword Art Online 3 3rd Season, SAO 3 3rd Season, SAO III 3rd Season, Sword Art Online: Alicization - War of Underworld - The Last Season",ソードアート・オンライン アリシゼーション War of Underworld,Sword Art Online: Alicization - War of Underworld Part 2,TV,11,Finished Airing,"Jul 12, 2020 to Sep 20, 2020",Summer 2020,Sundays at 00:00 (JST),"Aniplex , Bandai Namco Entertainment , Egg Firm , Straight Edge , Kadokawa",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,R - 17+ (violence & profanity),"7.49 1 (scored by 352364 352,364 users) 1 indicates a weighted score .",#1863 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#352,"609,733","3,199"
85,The Last: Naruto the Movie,"Naruto Movie 10: Naruto the Movie: The Last,Naruto: Shippuuden Movie 7 - The Last",THE LAST NARUTO THE MOVIE,Naruto Shippuden the Movie 7: The Last,Movie,1,Finished Airing,"Dec 6, 2014",,,"TV Tokyo , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance",,Shounen Shounen,1 hr. 52 min.,PG-13 - Teens 13 or older,"7.79 1 (scored by 403317 403,317 users) 1 indicates a weighted score .",#993 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#355,"605,537","2,202"
86,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,"DanMachi 3rd Season, Is It Wrong That I Want to Meet You in a Dungeon 3rd Season",ダンジョンに出会いを求めるのは間違っているだろうかIII,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Saturdays at 00:30 (JST),"Movic , Warner Bros. Japan , KlockWorx , Hakuhodo DY Music & Pictures , Egg Firm , FuRyu , GREE , SB Creative",Sentai Filmworks,J.C.Staff,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.46 1 (scored by 308290 308,290 users) 1 indicates a weighted score .",#1960 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#363,"592,381","1,889"
87,Hunter x Hunter,HxH,HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,62,Finished Airing,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,Saturdays at 18:00 (JST),Fuji TV,VIZ Media,Nippon Animation,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.41 1 (scored by 286821 286,821 users) 1 indicates a weighted score .",#174 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#367,"588,146","10,970"
88,Vinland Saga Season 2,,ヴィンランド・サガ SEASON2,Vinland Saga Season 2,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00:30 (JST),"Dentsu , Kodansha , Twin Engine","None found, add some",MAPPA,Manga,"Action Action, Adventure Adventure, Drama Drama","Gore Gore, Historical Historical",Seinen Seinen,25 min. per ep.,R - 17+ (violence & profanity),"8.81 1 (scored by 298188 298,188 users) 1 indicates a weighted score .",#31 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#369,"587,551","13,527"
89,Majo no Takkyuubin,Witch's Express Delivery,魔女の宅急便,Kiki's Delivery Service,Movie,1,Finished Airing,"Jul 29, 1989",,,Streamline Pictures,"Disney Platform Distribution , GKIDS",Studio Ghibli,Novel,"Adventure Adventure, Award Winning Award Winning, Comedy Comedy, Drama Drama, Fantasy Fantasy",,,1 hr. 43 min.,G - All Ages,"8.22 1 (scored by 379233 379,233 users) 1 indicates a weighted score .",#331 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#374,"583,061","5,826"
90,Gake no Ue no Ponyo,Ponyo on the Cliff by the Sea,崖の上のポニョ,Ponyo,Movie,1,Finished Airing,"Jul 19, 2008",,,"Dentsu , d-rights , TOHO","Disney Platform Distribution , GKIDS",Studio Ghibli,Original,"Adventure Adventure, Award Winning Award Winning, Fantasy Fantasy",,,1 hr. 40 min.,G - All Ages,"7.93 1 (scored by 383100 383,100 users) 1 indicates a weighted score .",#722 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#377,"576,961","4,187"
91,Kaifuku Jutsushi no Yarinaoshi,Kaiyari,回復術士のやり直し,Redo of Healer,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 23:30 (JST),"Lantis , AT-X , Glovision , Docomo Anime Store , Kadokawa Media House , Kadokawa , Bandai Namco Arts",Sentai Filmworks,TNK,Light novel,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy, Erotica Erotica","Gore Gore, Harem Harem, Time Travel Time Travel",,24 min. per ep.,R+ - Mild Nudity,"6.34 1 (scored by 333318 333,318 users) 1 indicates a weighted score .",N/A 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#378,"576,497","6,238"
92,Drifters,Drifters: Battle in a Brand-new World War,DRIFTERS,Drifters,TV,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,Fridays at 23:00 (JST),NBCUniversal Entertainment Japan,Funimation,Hoods Entertainment,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Adult Cast Adult Cast, Gore Gore, Historical Historical, Isekai Isekai, Military Military, Samurai Samurai",Seinen Seinen,23 min. per ep.,R - 17+ (violence & profanity),"7.89 1 (scored by 272343 272,343 users) 1 indicates a weighted score .",#776 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#382,"565,632","4,029"
93,Isekai wa Smartphone to Tomo ni.,In a Different World with a Smartphone.,異世界はスマートフォンとともに。,In Another World With My Smartphone,TV,12,Finished Airing,"Jul 11, 2017 to Sep 26, 2017",Summer 2017,Tuesdays at 20:30 (JST),"Sotsu , MediaNet , Pony Canyon , AT-X , Asmik Ace , Hobby Japan , 81 Produce , Tokyo MX , Exit Tunes",Funimation,Production Reed,Light novel,"Adventure Adventure, Comedy Comedy, Fantasy Fantasy, Romance Romance","Harem Harem, Isekai Isekai",,24 min. per ep.,PG-13 - Teens 13 or older,"6.13 1 (scored by 338717 338,717 users) 1 indicates a weighted score .",#8745 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#386,"560,366","2,910"
94,Katanagatari,Sword Story,刀語,Katanagatari,TV,12,Finished Airing,"Jan 26, 2010 to Dec 11, 2010",Winter 2010,Tuesdays at 01:10 (JST),"Aniplex , Lantis , Kodansha , Movic , Fuji TV","NIS America, Inc.",White Fox,Light novel,"Action Action, Adventure Adventure, Romance Romance","Historical Historical, Martial Arts Martial Arts",,50 min. per ep.,R - 17+ (violence & profanity),"8.31 1 (scored by 213961 213,961 users) 1 indicates a weighted score .",#242 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#387,"560,179","10,945"
95,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2","Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season, Gate: Thus the JSDF Fought There! Fire Dragon Arc, Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen",GATE（ゲート）自衛隊　彼の地にて、斯く戦えり　第2クール,GATE Part 2,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Winter 2016,Saturdays at 01:05 (JST),"Genco , Warner Bros. Japan , KlockWorx , Showgate , Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy","Isekai Isekai, Military Military",,23 min. per ep.,R - 17+ (violence & profanity),"7.72 1 (scored by 338904 338,904 users) 1 indicates a weighted score .",#1164 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#394,"552,163","1,890"
96,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"I hate being in pain, so I think I'll make a full defense build., I Hate Getting Hurt, So I Put All My Skill Points Into Defense",痛いのは嫌なので防御力に極振りしたいと思います。,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",TV,12,Finished Airing,"Jan 8, 2020 to Mar 25, 2020",Winter 2020,Wednesdays at 22:00 (JST),"AT-X , MAGES. , Docomo Anime Store , Sammy , ABC Animation , Kadokawa Media House , Kadokawa , D-techno",Funimation,SILVER LINK.,Light novel,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.53 1 (scored by 297164 297,164 users) 1 indicates a weighted score .",#1706 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#412,"530,469","3,713"
97,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War Arc,BLEACH 千年血戦篇,Bleach: Thousand-Year Blood War,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00:00 (JST),"TV Tokyo , Aniplex , Dentsu , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"9.02 1 (scored by 272475 272,475 users) 1 indicates a weighted score .",#9 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#413,"529,327","20,248"
98,Ore dake Level Up na Ken,"Na Honjaman Level Up, 나 혼자만 레벨업, I Level Up Alone",俺だけレベルアップな件,Solo Leveling,TV,12,Currently Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 00:00 (JST),"Aniplex , Crunchyroll , Netmarble , Kakao piccoma , D&C Media","None found, add some",A-1 Pictures,Web manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"8.38 1 (scored by 125736 125,736 users) 1 indicates a weighted score .",#193 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#422,"518,709","9,655"
99,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Jobless Reincarnation: I Will Seriously Try If I Go To Another World, Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season",無職転生 II ～異世界行ったら本気だす～,Mushoku Tensei: Jobless Reincarnation Season 2,TV,12,Finished Airing,"Jul 10, 2023 to Sep 25, 2023",Summer 2023,Mondays at 00:00 (JST),"Frontier Works , TOHO , TOHO animation , Hakuhodo DY Music & Pictures , BS11 , Egg Firm , Kadokawa , GREE Entertainment","None found, add some",Studio Bind,Light novel,"Adventure Adventure, Drama Drama, Fantasy Fantasy, Ecchi Ecchi","Isekai Isekai, Reincarnation Reincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.28 1 (scored by 271783 271,783 users) 1 indicates a weighted score .",#274 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#423,"516,831","6,732"
