,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
33,Log Horizon,,ログ・ホライズン,Log Horizon,TV,25,Finished Airing,"Oct 5, 2013 to Mar 22, 2014",Fall 2013,Saturdays at 17:30 (JST),NHK,"Funimation , Sentai Filmworks",Satelight,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy","Adult Cast Adult Cast, Video Game Video Game",,24 min. per ep.,PG-13 - Teens 13 or older,"7.91 1 (scored by 578505 578,505 users) 1 indicates a weighted score .",#738 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#131,"1,112,584","10,342"
34,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"JoJo's Bizarre Adventure Part 3, JoJo's Bizarre Adventure: Stardust Crusaders - Egypt Arc",ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,Saturdays at 00:30 (JST),"Yomiko Advertising , Warner Bros. Japan , KlockWorx , Medicos Entertainment , Shueisha",VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.44 1 (scored by 785674 785,674 users) 1 indicates a weighted score .",#156 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#133,"1,105,494","20,556"
35,Tonari no Totoro,My Neighbour Totoro,となりのトトロ,My Neighbor Totoro,Movie,1,Finished Airing,"Apr 16, 1988",,,"Tokuma Shoten , Streamline Pictures","Disney Platform Distribution , GKIDS",Studio Ghibli,Original,"Adventure Adventure, Award Winning Award Winning, Supernatural Supernatural",,,1 hr. 26 min.,G - All Ages,"8.25 1 (scored by 689779 689,779 users) 1 indicates a weighted score .",#307 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#140,"1,057,584","8,517"
36,Magi: The Labyrinth of Magic,Magi Season 1,マギ The labyrinth of magic,Magi: The Labyrinth of Magic,TV,25,Finished Airing,"Oct 7, 2012 to Mar 31, 2013",Fall 2012,Sundays at 17:00 (JST),"Aniplex , Dentsu , Shogakukan-Shueisha Productions , Mainichi Broadcasting System , Movic , GYAO!",Aniplex of America,A-1 Pictures,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.01 1 (scored by 550153 550,153 users) 1 indicates a weighted score .",#610 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#145,"1,039,510","9,239"
37,Sword Art Online: Alicization,"Sword Art Online III, SAO Alicization, Sword Art Online 3, SAO 3",ソードアート・オンライン アリシゼーション,Sword Art Online: Alicization,TV,24,Finished Airing,"Oct 7, 2018 to Mar 31, 2019",Fall 2018,Sundays at 00:00 (JST),"Aniplex , Genco , Bandai Namco Entertainment , Egg Firm , Straight Edge , Kadokawa",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,R - 17+ (violence & profanity),"7.57 1 (scored by 616574 616,574 users) 1 indicates a weighted score .",#1535 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#146,"1,039,183","7,262"
38,Dragon Ball,"Dragonball, DB",ドラゴンボール,Dragon Ball,TV,153,Finished Airing,"Feb 26, 1986 to Apr 12, 1989",Winter 1986,Wednesdays at 19:00 (JST),"Fuji TV , Shueisha",Funimation,Toei Animation,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Martial Arts Martial Arts, Super Power Super Power",Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.97 1 (scored by 665479 665,479 users) 1 indicates a weighted score .",#660 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#148,"1,032,798","15,981"
39,Dr. Stone: Stone Wars,"Dr. Stone 2nd Season, Dr. Stone Second Season",ドクターストーン STONE WARS,,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22:30 (JST),"TOHO animation , Shueisha , Toho Music , 8PAN",Funimation,TMS Entertainment,Manga,"Adventure Adventure, Comedy Comedy, Sci-Fi Sci-Fi",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.16 1 (scored by 585315 585,315 users) 1 indicates a weighted score .",#415 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#150,"1,030,552","7,293"
40,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo",ジョジョの奇妙な冒険 黄金の風,JoJo's Bizarre Adventure: Golden Wind,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01:05 (JST),Warner Bros. Japan,VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.57 1 (scored by 679298 679,298 users) 1 indicates a weighted score .",#94 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#152,"1,015,972","31,670"
41,Overlord II,,オーバーロードⅡ,Overlord II,TV,13,Finished Airing,"Jan 9, 2018 to Apr 3, 2018",Winter 2018,Tuesdays at 22:30 (JST),"AT-X , Enterbrain , Grooove , Hakuhodo DY Music & Pictures , NTT Plala , Kadokawa",Funimation,Madhouse,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.76 1 (scored by 631813 631,813 users) 1 indicates a weighted score .",#1046 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#153,"1,015,929","4,502"
42,Fairy Tail (2014),Fairy Tail Season 2,FAIRY TAIL（フェアリーテイル）,Fairy Tail Series 2,TV,102,Finished Airing,"Apr 5, 2014 to Mar 26, 2016",Spring 2014,Saturdays at 10:30 (JST),"TV Tokyo , Dentsu",Funimation,"A-1 Pictures , Bridge",Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.65 1 (scored by 556286 556,286 users) 1 indicates a weighted score .",#1315 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#156,"990,470","12,165"
